epoch,accuracy,loss,val_accuracy,val_loss
0,0.25,0.5754015445709229,0.0,0.0
1,0.5649999976158142,0.3428244888782501,0.0,0.0
2,0.7475000023841858,0.22232982516288757,0.0,0.0
3,0.8100000023841858,0.17876571416854858,0.0,0.0
4,0.8125,0.16695429384708405,0.0,0.0
5,0.8337500095367432,0.1480264812707901,0.0,0.0
6,0.8799999952316284,0.116982601583004,0.0,0.0
7,0.9075000286102295,0.09981271624565125,0.0,0.0
8,0.9024999737739563,0.09703366458415985,0.0,0.0
9,0.9237499833106995,0.08655356615781784,0.0,0.0
10,0.9150000214576721,0.08222265541553497,0.0,0.0
11,0.9287499785423279,0.07263606786727905,0.0,0.0
12,0.918749988079071,0.07813750952482224,0.0,0.0
13,0.9437500238418579,0.06663311272859573,0.0,0.0
14,0.9587500095367432,0.06241539120674133,0.0,0.0
15,0.9574999809265137,0.05635003000497818,0.0,0.0
16,0.9549999833106995,0.05954251438379288,0.0,0.0
17,0.9549999833106995,0.05669806897640228,0.0,0.0
18,0.9587500095367432,0.051538556814193726,0.0,0.0
19,0.9624999761581421,0.049796104431152344,0.0,0.0
20,0.9612500071525574,0.047366634011268616,0.0,0.0
21,0.9700000286102295,0.044578325003385544,0.0,0.0
22,0.9725000262260437,0.04378608614206314,0.0,0.0
23,0.9775000214576721,0.04283781349658966,0.0,0.0
24,0.9787499904632568,0.0410877987742424,0.0,0.0
25,0.9712499976158142,0.04247991740703583,0.0,0.0
26,0.9787499904632568,0.037106893956661224,0.0,0.0
27,0.9800000190734863,0.03705962374806404,0.0,0.0
28,0.9850000143051147,0.03612019121646881,0.0,0.0
29,0.9800000190734863,0.03542304411530495,0.0,0.0
30,0.9800000190734863,0.03659345209598541,0.0,0.0
31,0.987500011920929,0.03398622199892998,0.0,0.0
32,0.9887499809265137,0.033548444509506226,0.0,0.0
33,0.9887499809265137,0.033073753118515015,0.0,0.0
34,0.9850000143051147,0.034178003668785095,0.0,0.0
35,0.987500011920929,0.03056168742477894,0.0,0.0
36,0.9887499809265137,0.0325080007314682,0.0,0.0
37,0.9850000143051147,0.029930857941508293,0.0,0.0
38,0.981249988079071,0.03179546445608139,0.0,0.0
39,0.987500011920929,0.030459396541118622,0.0,0.0
40,0.9887499809265137,0.028005219995975494,0.0,0.0
41,0.9837499856948853,0.029515963047742844,0.0,0.0
42,0.987500011920929,0.029620496556162834,0.0,0.0
43,0.9887499809265137,0.028524750843644142,0.0,0.0
44,0.9850000143051147,0.028405506163835526,0.0,0.0
45,0.9887499809265137,0.028947334736585617,0.0,0.0
46,0.9887499809265137,0.030084025114774704,0.0,0.0
47,0.9900000095367432,0.026752760633826256,0.0,0.0
48,0.9887499809265137,0.029407840222120285,0.0,0.0
49,0.9912499785423279,0.028019942343235016,0.0,0.0
